HK.06808,高鑫零售,74297816
HK.03669,永达汽车,73879653
HK.01766,中国中车,73849361
HK.02768,佳源国际控股,72239950
HK.00489,东风集团股份,72024370
HK.03360,远东宏信,71758480
HK.00950,李氏大药厂,70743655
HK.06066,中信建投证券,70714975
HK.00123,越秀地产,70191324
HK.01212,利福国际,69858644
HK.01038,长江基建集团,68752699
HK.00817,中国金茂,68365980
HK.01728,正通汽车,68107325
HK.02282,美高梅中国,67665718
HK.01030,新城发展控股,67615860
HK.00392,北京控股,66399348
HK.01778,彩生活,65175264
HK.01458,周黑鸭,65017370
HK.00220,统一企业中国,63607770
HK.02380,中国电力,63128178
HK.00656,复星国际,63086682
HK.02006,锦江酒店,62692580
HK.01800,中国交通建设,62183624
HK.01083,港华燃气,62086255
HK.01347,华虹半导体,61949774
HK.00257,中国光大国际,60815931
HK.01359,中国信达,60717485
HK.02600,中国铝业,60078245
HK.01628,禹洲地产,59721060
HK.02020,安踏体育,58977227
HK.06068,睿见教育,58392140
HK.01316,耐世特,58327340
HK.00148,建滔化工,58212437
HK.02611,国泰君安,57810428
HK.02038,富智康集团,57699095
HK.00960,龙湖地产,57413849
HK.01999,敏华控股,57137524
HK.02009,金隅集团,56187706
HK.02331,李宁,55426682
HK.00799,IGG,55343710
HK.03633,中裕燃气,55184700
HK.00322,康师傅控股,54729894
HK.02779,中国新华教育,54699100
HK.03898,中车时代电气,54529874
HK.02888,渣打集团,53872553
HK.03377,远洋集团,53519959
HK.00347,鞍钢股份,53410425
HK.00189,东岳集团,53287115
HK.00512,远大医药,53136120
HK.03309,希玛眼科,53134120
HK.01031,金利丰金融,52459119
HK.00806,惠理集团,52353993
HK.06881,中国银河,52011450
HK.00338,上海石油化工股份,51416698
HK.01569,民生教育,51375900
HK.00607,丰盛控股,51108166
HK.00390,中国中铁,51012958
HK.02858,易鑫集团,50877315
HK.00128,安宁控股,50286440
HK.00270,粤海投资,50179439
HK.00285,比亚迪电子,49579199
HK.06060,众安在线,49433849
HK.01251,华油能源,49207750
HK.00358,江西铜业股份,47799200
HK.00699,神州租车,46970786
HK.00293,国泰航空,46388480
HK.00151,中国旺旺,46241784
HK.01970,IMAX 中国,45439101
HK.03396,联想控股,45087045
HK.00410,SOHO中国,44920731
HK.02329,国瑞置业,44392890
HK.01638,佳兆业集团,44220152
HK.02588,中银航空租赁,43787768
HK.06889,Dynam,43428346
HK.00316,东方海外国际,43196962
HK.00173,嘉华国际,42760643
HK.02777,富力地产,42738545
HK.00144,招商局港口,42586918
HK.03900,绿城中国,42108460
HK.01089,乐游科技控股,41613450
HK.00968,信义光能,41370200
HK.00530,高银金融,41352560
HK.02268,优源控股,41327800
HK.01462,金诚控股,40760800
HK.00576,浙江沪杭甬,40702620
HK.03800,保利协鑫能源,40553904
HK.02638,港灯-SS,39855044
HK.01726,HKE HOLDINGS,39704450
HK.01668,华南城,39415110
HK.03883,中国奥园,39191014
HK.00966,中国太平,38960506
HK.01186,中国铁建,38921457
HK.01776,广发证券,38594042
HK.03311,中国建筑国际,38161026
HK.01913,普拉达,37923956
HK.06088,FIT HON TENG,37737355
HK.01898,中煤能源,37099930
HK.06886,华泰证券,36803729
HK.06869,长飞光纤光缆,36719234
HK.01929,周大福,36459872
HK.01333,中国忠旺,35613993
HK.00991,大唐发电,35277820
HK.00101,恒隆地产,35225140
HK.00019,太古股份公司A,35192959
HK.06823,香港电讯-SS,34808982
HK.00272,瑞安房地产,34711115
HK.01378,中国宏桥,34654440
HK.00142,第一太平,34155042
HK.01513,丽珠医药,34134800
HK.01011,泰凌医药,33849360
HK.02343,太平洋航运,33844733
HK.00004,九龙仓集团,33195840
HK.00372,保德国际发展,33160933
HK.00956,新天绿色能源,32833477
HK.00308,香港中旅,32411110
HK.03308,金鹰商贸集团,32393105
HK.00606,中国粮油控股,32203338
HK.08138,同仁堂国药,31939333
HK.01257,中国光大绿色环保,31459914
HK.00267,中信股份,31326540
HK.01700,华地国际控股,31233170
HK.08483,名仕快相,31124640
HK.02866,中远海发,30682386
HK.00178,莎莎国际,30588498
HK.06878,鼎丰集团控股,30256040
HK.01448,福寿园,30130070
HK.01337,雷蛇,30059689
HK.00378,五龙动力,29584432
HK.02727,上海电气,29381120
HK.00548,深圳高速公路股份,29380300
HK.00171,银建国际,29364960
HK.00535,金地商置,29224860
HK.01478,丘钛科技,28611060
HK.01302,先健科技,28440180
HK.01161,奥思集团,28220760
HK.02119,捷荣国际控股,28164700
HK.00751,创维数码,28163677
HK.01966,中骏置业,28021580
HK.01729,汇聚科技,28005840
HK.01618,中国中冶,27957911
HK.00819,天能动力,27872900
HK.01297,中国擎天软件,27857215
HK.06158,正荣地产,27856790
HK.00493,国美零售,27539947
HK.03918,金界控股,27467150
HK.03320,华润医药,27190292
HK.00323,马鞍山钢铁股份,27128860
HK.03618,重庆农村商业银行,27102980
HK.03606,福耀玻璃,26991040
HK.00732,信利国际,26847630
HK.02666,环球医疗,26627112
HK.00020,会德丰,26598408
HK.00932,顺腾国际控股,26395520
HK.00631,三一国际,26189625
HK.03339,中国龙工,25964176
HK.02877,神威药业,25911816
HK.01720,普天通信集团,25902480
HK.00083,信和置业,25802008
HK.01566,华夏动漫,25578270
HK.01234,中国利郎,25261480
HK.00756,森美控股,25155200
HK.08385,万里印刷,24983950
HK.00853,微创医疗,24915167
HK.01166,星凯控股,24699688
HK.00816,华电福新,24598184
HK.01266,西王特钢,24570600
HK.00177,江苏宁沪高速公路,24483853
HK.01233,时代中国控股,23782083
HK.00708,恒大健康,23711750
HK.00683,嘉里建设,23665767
HK.00665,海通国际,23410474
HK.00694,北京首都机场股份,22885080
HK.01243,宏安地产,22755080
HK.00590,六福集团,22746796
HK.00363,上海实业控股,22607105
HK.08057,麦迪森控股,22588760
HK.00029,达力集团,21667100
HK.02128,中国联塑,21233090
HK.00345,维他奶国际,21145350
HK.00439,光启科学,20905820
HK.00581,中国东方集团,20762200
HK.00059,天誉置业,20719056
HK.00451,协鑫新能源,20600584
HK.02232,晶苑国际,20579045
HK.01579,颐海国际,20133140
HK.02098,卓尔集团,19965160
HK.00087,太古股份公司B,19445772
HK.01812,晨鸣纸业,19369332
HK.01052,越秀交通基建,19247400
HK.00511,电视广播,19186115
HK.01660,善乐国际,18998960
HK.00179,德昌电机控股,18945253
HK.00659,新创建集团,18853198
HK.00165,中国光大控股,18462080
HK.00855,中国水务,18379000
HK.03301,融信中国,18368865
HK.00008,电讯盈科,18237091
HK.02362,金川国际,18208730
HK.00405,越秀房产信托基金,17978460
HK.02099,中国黄金国际,17660450
HK.01086,好孩子国际,17654139
HK.00636,嘉里物流,17651027
HK.01862,景瑞控股,17620520
HK.01157,中联重科,17586662
HK.01131,鸿宝资源,17351850
HK.01623,海隆控股,17346230
HK.01788,国泰君安国际,17275605
HK.00440,大新金融,17038729
HK.00023,东亚银行,16745654
HK.06818,中国光大银行,16674780
HK.01630,建成控股,16636865
HK.01515,华润凤凰医疗,16570500
HK.00658,中国高速传动,15889860
HK.01183,澳能建设,15882080
HK.00696,中国民航信息网络,15385243
HK.00119,保利置业集团,15370200
HK.03836,和谐汽车,15330652
HK.01133,哈尔滨电气,15290480
HK.00054,合和实业,15263175
HK.01106,中国海景,15174920
HK.01536,煜荣集团,15117700
HK.00419,华谊腾讯娱乐,14974820
HK.02138,香港医思医疗集团,14954944
HK.01611,桐成控股,14784160
HK.08420,NEXION TECH,14742900
HK.00303,伟易达,14495116
HK.00832,建业地产,14463570
HK.00588,北京北辰实业股份,14319260
HK.00970,耀莱集团,14300800
HK.01004,中国智慧能源,14094740
HK.00010,恒隆集团,14066810
HK.00777,网龙,14036025
HK.00934,中石化冠德,13984272
HK.01717,澳优,13935840
HK.01632,膳源控股,13812440
HK.01368,特步国际,13578380
HK.01140,东英金融,13539960
HK.00921,海信科龙,13493880
HK.08283,正力控股,13418050
HK.01689,华禧控股,13343980
HK.02314,理文造纸,13280060
HK.00525,广深铁路股份,13254200
HK.08430,春能控股,13161800
HK.08032,非凡中国,13074520
HK.00931,中国天然气,13065800
HK.02233,西部水泥,13052670
HK.00069,香格里拉(亚洲),13018987
HK.03958,东方证券,12865111
HK.01815,金猫银猫,12809788
HK.01565,成实外教育,12488660
HK.02188,泰坦能源技术,12376080
HK.08352,成安控股,12307700
HK.00639,首钢资源,12264530
HK.08469,盛业资本,12213640
HK.00860,力世纪,12133780
HK.01199,中远海运港口,11958020
HK.01681,康臣药业,11778145
HK.00612,中国投资基金公司,11709680
HK.00508,鼎亿集团投资,11665550
HK.06138,哈尔滨银行,11619430
HK.00450,鸿兴印刷集团,11614960
HK.08417,大地教育,11606750
HK.00574,百信国际,11591360
