US.XOM,埃克森美孚,STOCK,714365883.385,8711884.0
US.STAF,"Staffing 360 Solutions, Inc.",STOCK,27508826.531,8704003.0
US.OPK,Opko健康,STOCK,52761461.56,8604385.0
US.BBVA,Banco Bilbao Vizcaya Argentaria SA,STOCK,58970674.001,8525527.0
US.HBAN,亨廷顿银行,STOCK,123615218.037,8219871.0
US.ESV,恩斯克,STOCK,57982705.39,8193754.0
US.DVN,戴文能源,STOCK,353986891.863,8152036.0
US.OAS,"Oasis Petroleum, Inc.",STOCK,95631775.709,8145514.0
US.MGM,美高梅,STOCK,252327817.079,8120064.0
US.AVGO,博通,STOCK,1691586001.834,8083430.0
US.KR,克罗格,STOCK,226621252.495,8034554.0
US.BBD,巴西布拉德斯科银行,STOCK,60606658.53,7933715.0
US.KMI,金德尔摩根,STOCK,139505658.419,7864652.0
US.HUYA,虎牙,STOCK,304566746.612,7733343.0
US.FOXA,21世纪福克斯公司,STOCK,359115318.473,7698238.0
US.GGB,盖尔道钢铁,STOCK,32131538.53,7641861.0
US.WEN,温迪,STOCK,135409733.227,7641805.0
US.BK,纽约梅隆银行,STOCK,420283410.551,7600519.0
US.ROKU,Roku,STOCK,381594085.65,7600440.0
US.SCHW,嘉信理财,STOCK,407753555.727,7565288.0
US.TEVA,梯瓦制药,STOCK,176593920.15,7559148.0
US.BP,英国石油,STOCK,329280419.936,7470255.0
US.KO,可口可乐,STOCK,331486043.043,7351566.0
US.MDLZ,亿滋,STOCK,311400504.561,7346959.0
US.LUV,西南航空,STOCK,393344736.898,7258392.0
US.KKR,KKR & Co. LP,STOCK,196068594.681,7242534.0
US.JNJ,强生,STOCK,913737283.116,7152355.0
US.ATUS,"Altice USA, Inc.",STOCK,126728481.66,7099002.0
US.BX,黑石,STOCK,257255147.163,7095981.0
US.CAG,康尼格拉,STOCK,252289775.53,7056585.0
US.ECA,加拿大能源,STOCK,90419889.357,7047288.0
US.SYMC,赛门铁克,STOCK,151701721.901,7036737.0
US.MRVL,迈威尔科技,STOCK,151114499.909,7015443.0
US.V,维萨卡公司,STOCK,984778863.349,7008550.0
US.HPE,惠普企业,STOCK,110776442.544,6992383.0
US.NVDA,英伟达,STOCK,1748086506.654,6941041.0
US.IBM,IBM Corp,STOCK,997578539.577,6935288.0
US.EVHC,"Envision Healthcare Holdings, Inc.",STOCK,304708961.363,6865546.0
US.HAL,哈里伯顿,STOCK,306206304.401,6856760.0
US.VER,"VEREIT, Inc.",STOCK,50791895.591,6852986.0
US.CEI,"Camber Energy, Inc.",STOCK,3269772.854,6831909.0
US.TAL,好未来,STOCK,278753891.277,6824756.0
US.QCOM,高通,STOCK,398603308.915,6795436.0
US.HBI,哈尼斯品牌服装,STOCK,149106790.768,6792949.0
US.NCLH,挪威邮轮,STOCK,339098651.102,6735039.0
US.RSPP,"RSP Permian, Inc.",STOCK,319253607.035,6685022.0
US.SLB,斯伦贝谢,STOCK,433601017.102,6493158.0
US.HPQ,惠普,STOCK,151785074.144,6467602.0
US.PM,菲利普莫里斯,STOCK,530549677.938,6453551.0
US.BSX,波士顿科学,STOCK,216715587.085,6430940.0
US.GRPN,GroupOn,STOCK,30160540.734,6430500.0
US.DIS,迪士尼,STOCK,708597447.124,6414101.0
US.ARNC,美国铝业公司,STOCK,125523006.739,6410565.0
US.HUN,亨斯曼材料,STOCK,199437763.966,6350432.0
